mode,budget,top_m,grounded_success_rate,avg_input_tokens,correctness,attribution_accuracy
highway_pruned_global,512,5,40.00,498.6,40.00,40.00
highway_pruned_global,512,8,44.00,494.8,44.00,44.00
highway_pruned_global,768,5,40.00,588.6,40.00,40.00
highway_pruned_global,768,8,44.00,571.4,44.00,44.00
highway_pruned_global_bm25_max,512,5,60.00,456.4,60.00,60.00
highway_pruned_global_bm25_max,512,8,61.00,471.8,61.00,61.00
highway_pruned_global_bm25_max,768,5,60.00,515.0,60.00,60.00
highway_pruned_global_bm25_max,768,8,61.00,537.5,61.00,61.00
highway_pruned_global_bm25_stage1,512,5,60.00,458.7,60.00,60.00
highway_pruned_global_bm25_stage1,512,8,57.00,484.6,57.00,57.00
highway_pruned_global_bm25_stage1,768,5,61.00,526.4,61.00,61.00
highway_pruned_global_bm25_stage1,768,8,57.00,558.6,57.00,57.00
highway_pruned_global_bm25_top3avg,512,5,62.00,439.5,62.00,62.00
highway_pruned_global_bm25_top3avg,512,8,63.00,460.7,63.00,63.00
highway_pruned_global_bm25_top3avg,768,5,62.00,487.0,62.00,62.00
highway_pruned_global_bm25_top3avg,768,8,63.00,519.9,63.00,63.00
highway_pruned_global_hybrid_bm25doc_top3sent,512,5,59.00,453.5,59.00,59.00
highway_pruned_global_hybrid_bm25doc_top3sent,512,8,61.00,467.9,61.00,61.00
highway_pruned_global_hybrid_bm25doc_top3sent,768,5,60.00,511.4,60.00,60.00
highway_pruned_global_hybrid_bm25doc_top3sent,768,8,61.00,531.9,61.00,61.00
highway_pruned_local,512,3,78.00,354.5,78.00,78.00
highway_pruned_local,768,3,78.00,390.1,78.00,78.00
