mode,top_m,budget,grounded_success_rate,case_hit_rate,doc_hit_rate,distractor_selection_rate
highway_pruned_global,5,512,40.00,70.00,40.00,90.13
highway_pruned_global,8,512,44.00,74.00,44.00,89.69
highway_pruned_global,5,768,40.00,70.00,40.00,90.35
highway_pruned_global,8,768,44.00,74.00,44.00,89.84
highway_pruned_global_bm25_max,5,512,60.00,78.00,60.00,83.65
highway_pruned_global_bm25_max,8,512,61.00,81.00,61.00,86.40
highway_pruned_global_bm25_max,5,768,60.00,78.00,60.00,83.62
highway_pruned_global_bm25_max,8,768,61.00,81.00,61.00,86.44
highway_pruned_global_bm25_stage1,5,512,60.00,82.00,60.00,84.04
highway_pruned_global_bm25_stage1,8,512,57.00,79.00,57.00,87.64
highway_pruned_global_bm25_stage1,5,768,61.00,82.00,61.00,84.06
highway_pruned_global_bm25_stage1,8,768,57.00,79.00,57.00,87.88
highway_pruned_global_bm25_top3avg,5,512,62.00,79.00,62.00,83.72
highway_pruned_global_bm25_top3avg,8,512,63.00,80.00,63.00,86.38
highway_pruned_global_bm25_top3avg,5,768,62.00,79.00,62.00,83.37
highway_pruned_global_bm25_top3avg,8,768,63.00,80.00,63.00,86.50
highway_pruned_global_hybrid_bm25doc_top3sent,5,512,59.00,80.00,59.00,83.58
highway_pruned_global_hybrid_bm25doc_top3sent,8,512,61.00,81.00,61.00,86.77
highway_pruned_global_hybrid_bm25doc_top3sent,5,768,60.00,80.00,60.00,83.47
highway_pruned_global_hybrid_bm25doc_top3sent,8,768,61.00,81.00,61.00,86.91
