context_size,mode,category,exact_match_pct,numeric_preservation_pct,suffix_error_rate_pct,contradiction_accuracy_pct,multi_fact_recall_pct,gold_recall_pct
50,full_context,A,100.0,100.0,0.0,100.0,100.0,100.0
50,full_context,B,100.0,100.0,0.0,100.0,100.0,100.0
50,full_context,C,100.0,100.0,0.0,100.0,100.0,100.0
50,full_context,D,100.0,100.0,0.0,100.0,100.0,100.0
50,full_context,E,100.0,100.0,0.0,100.0,100.0,100.0
50,hybrid,A,100.0,100.0,0.0,100.0,100.0,100.0
50,hybrid,B,100.0,100.0,0.0,100.0,100.0,100.0
50,hybrid,C,100.0,100.0,0.0,100.0,100.0,100.0
50,hybrid,D,100.0,100.0,0.0,100.0,100.0,100.0
50,hybrid,E,100.0,100.0,0.0,100.0,100.0,100.0
50,new_predictor,A,100.0,100.0,0.0,100.0,100.0,100.0
50,new_predictor,B,100.0,100.0,0.0,100.0,100.0,100.0
50,new_predictor,C,100.0,100.0,0.0,100.0,100.0,100.0
50,new_predictor,D,100.0,100.0,0.0,100.0,100.0,100.0
50,new_predictor,E,100.0,100.0,0.0,100.0,100.0,100.0
50,old_predictor,A,100.0,100.0,0.0,100.0,100.0,100.0
50,old_predictor,B,100.0,100.0,0.0,100.0,100.0,100.0
50,old_predictor,C,100.0,100.0,0.0,100.0,100.0,100.0
50,old_predictor,D,0.0,0.0,0.0,0.0,100.0,100.0
50,old_predictor,E,100.0,100.0,0.0,100.0,100.0,100.0
200,full_context,A,100.0,100.0,0.0,100.0,100.0,100.0
200,full_context,B,100.0,100.0,0.0,100.0,100.0,100.0
200,full_context,C,100.0,100.0,0.0,100.0,100.0,100.0
200,full_context,D,100.0,100.0,0.0,100.0,100.0,100.0
200,full_context,E,100.0,100.0,0.0,100.0,100.0,100.0
200,hybrid,A,100.0,100.0,0.0,100.0,100.0,100.0
200,hybrid,B,100.0,100.0,0.0,100.0,100.0,100.0
200,hybrid,C,100.0,100.0,0.0,100.0,100.0,100.0
200,hybrid,D,100.0,100.0,0.0,100.0,100.0,100.0
200,hybrid,E,100.0,100.0,0.0,100.0,100.0,100.0
200,new_predictor,A,100.0,100.0,0.0,100.0,100.0,100.0
200,new_predictor,B,100.0,100.0,0.0,100.0,100.0,100.0
200,new_predictor,C,100.0,100.0,0.0,100.0,100.0,100.0
200,new_predictor,D,100.0,100.0,0.0,100.0,100.0,100.0
200,new_predictor,E,100.0,100.0,0.0,100.0,100.0,100.0
200,old_predictor,A,100.0,100.0,0.0,100.0,100.0,100.0
200,old_predictor,B,100.0,100.0,0.0,100.0,100.0,100.0
200,old_predictor,C,100.0,100.0,0.0,100.0,100.0,100.0
200,old_predictor,D,0.0,0.0,0.0,0.0,100.0,100.0
200,old_predictor,E,100.0,100.0,0.0,100.0,100.0,100.0
400,full_context,A,100.0,100.0,0.0,100.0,100.0,100.0
400,full_context,B,100.0,100.0,0.0,100.0,100.0,100.0
400,full_context,C,100.0,100.0,0.0,100.0,100.0,100.0
400,full_context,D,100.0,100.0,0.0,100.0,100.0,100.0
400,full_context,E,100.0,100.0,0.0,100.0,100.0,100.0
400,hybrid,A,100.0,100.0,0.0,100.0,100.0,100.0
400,hybrid,B,100.0,100.0,0.0,100.0,100.0,100.0
400,hybrid,C,100.0,100.0,0.0,100.0,100.0,100.0
400,hybrid,D,100.0,100.0,0.0,100.0,100.0,100.0
400,hybrid,E,100.0,100.0,0.0,100.0,100.0,100.0
400,new_predictor,A,100.0,100.0,0.0,100.0,100.0,100.0
400,new_predictor,B,100.0,100.0,0.0,100.0,100.0,100.0
400,new_predictor,C,100.0,100.0,0.0,100.0,100.0,100.0
400,new_predictor,D,100.0,100.0,0.0,100.0,100.0,100.0
400,new_predictor,E,100.0,100.0,0.0,100.0,100.0,100.0
400,old_predictor,A,100.0,100.0,0.0,100.0,100.0,100.0
400,old_predictor,B,100.0,100.0,0.0,100.0,100.0,100.0
400,old_predictor,C,100.0,100.0,0.0,100.0,100.0,100.0
400,old_predictor,D,0.0,0.0,0.0,0.0,100.0,100.0
400,old_predictor,E,100.0,100.0,0.0,100.0,100.0,100.0
