context_size,mode,avg_kept_blocks,token_reduction_pct,selector_latency_ms,ttft_ms,peak_vram_mb,est_kv_mb,tokens_per_sec_in,tokens_per_sec_out,oom_rate
50,full_context,50.0,0.0,0.0,17964.898900000026,8058.86064453125,1677.99375,635.9838595548417,2.332308928863944,0.0
50,hybrid,4.2,91.6,13.210040000035406,67.32081999996353,6311.9955078125,202.5,9786.18356174235,13.21646048520399,0.0
50,new_predictor,4.2,91.6,30.881100000033257,77.9036399999768,6311.654296875,202.5,8446.051880281071,12.404569364825976,0.0
50,old_predictor,13.4,73.2,23.728920000030485,306.12486000002264,6625.52333984375,468.28125,9630.833094814347,14.129986872413884,0.0
200,full_context,200.0,0.0,0.0,12318.546519999973,9056.2228515625,2521.74375,952.4627004597429,2.727620083203333,0.0
200,hybrid,4.2,97.9,17.0738199999505,64.61728000003859,6248.14140625,149.175,7342.903825228625,14.073319648846006,0.0
200,new_predictor,4.2,97.9,30.533340000010867,72.69533999997293,6254.5501953125,154.63125,6981.1000491853865,13.96817682503026,0.0
200,old_predictor,42.6,78.7,30.564980000053765,161.59832000007555,6682.9330078125,516.31875,11094.972371482052,12.765820142324227,0.0
400,full_context,400.0,0.0,0.0,12078.052480000088,10387.95625,3646.575,1452.1346405499212,0.6766737320525452,0.0
400,hybrid,4.4,98.9,21.750100000008388,144.323519999989,6249.5525390625,150.4125,6385.778430489703,13.716646747875064,0.0
400,new_predictor,4.4,98.9,34.949879999885525,229.819500000076,6249.5525390625,150.4125,4306.068536810138,12.482967975020916,0.0
400,old_predictor,71.2,82.2,35.055219999958354,338.73762000011993,7067.06728515625,833.68125,9235.85600977275,8.968944179101044,0.0
